date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:00	6434/6434	---MCZ	200	added ('OK')	text/html	etag:W/%22156f9-WFqfmMr+dMvhQHa+gz0K8h6KRS8%22	https://footballpeek.com/robots.txt		(from )
12:35:00	58049/58049	---MCZ	200	added ('OK')	text/html	etag:W/%22e2c1-bqkOwDEggjMe78W9GTR7pnZGy00%22	https://footballpeek.com/	/home/neeraj/websites/FootbalPeek/footballpeek.com/index.html	(from )
12:35:01	430/430	---M-Z	200	added ('OK')	application/json	etag:W/%221ae-WTMp24QgW2mkwfF3wRnnN7BhcWM%22	https://footballpeek.com/manifest.json	/home/neeraj/websites/FootbalPeek/footballpeek.com/manifest.json	(from https://footballpeek.com/)
12:35:01	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223aee-15d04a9f46c%22	https://footballpeek.com/favicon.ico	/home/neeraj/websites/FootbalPeek/footballpeek.com/favicon.ico	(from https://footballpeek.com/)
12:35:02	1619/1619	---M--	200	added ('OK')	image/png	etag:W/%22653-15d04a9f44c%22	https://footballpeek.com/favicon-32x32.png	/home/neeraj/websites/FootbalPeek/footballpeek.com/favicon-32x32.png	(from https://footballpeek.com/)
12:35:03	881/881	---M--	200	added ('OK')	image/png	etag:W/%22371-15d04a9f43d%22	https://footballpeek.com/favicon-16x16.png	/home/neeraj/websites/FootbalPeek/footballpeek.com/favicon-16x16.png	(from https://footballpeek.com/)
12:35:04	8352/8352	---M--	200	added ('OK')	image/png	etag:W/%2220a0-15d04a9f47b%22	https://footballpeek.com/icon-apple.png	/home/neeraj/websites/FootbalPeek/footballpeek.com/icon-apple.png	(from https://footballpeek.com/)
12:35:05	36962/36962	---M--	200	added ('OK')	image/png	etag:W/%229062-15cdaae8721%22	https://footballpeek.com/icon-512x512.png	/home/neeraj/websites/FootbalPeek/footballpeek.com/icon-512x512.png	(from https://footballpeek.com/)
12:35:07	78258/78258	---MCZ	200	added ('OK')	text/css	etag:W/%22131b2-16f44549302%22	https://footballpeek.com/style.bundle.de637f1c7be5f18e0f10.css	/home/neeraj/websites/FootbalPeek/footballpeek.com/style.bundle.de637f1c7be5f18e0f10.css	(from https://footballpeek.com/)
12:35:07	2526/2526	---M--	200	added ('OK')	image/png	etag:W/%229de-15cdaae8711%22	https://footballpeek.com/icon-48x48.png	/home/neeraj/websites/FootbalPeek/footballpeek.com/icon-48x48.png	(from https://footballpeek.com/)
12:35:09	87801/87801	---MCZ	200	added ('OK')	text/html	etag:W/%22156f9-WFqfmMr+dMvhQHa+gz0K8h6KRS8%22	https://footballpeek.com/premier-league	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league.html	(from https://footballpeek.com/)
12:35:10	85716/85716	---MCZ	200	added ('OK')	text/html	etag:W/%2214ed4-gFIngzURlLPUKRxhjV4DY8rdJZU%22	https://footballpeek.com/liga	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga.html	(from https://footballpeek.com/)
12:35:11	86943/86943	---MCZ	200	added ('OK')	text/html	etag:W/%221539f-CcmgLiDwbvCSdJ2NSS/fegzB6xY%22	https://footballpeek.com/ligue-1	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1.html	(from https://footballpeek.com/)
12:35:12	86458/86458	---MCZ	200	added ('OK')	text/html	etag:W/%22151ba-d21Xx2HIcvWnspmTbX9WNFQoabw%22	https://footballpeek.com/serie-a	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a.html	(from https://footballpeek.com/)
12:35:13	84158/84158	---MCZ	200	added ('OK')	text/html	etag:W/%22148be-u/Fz/bkzLkZ9C9Yu0gQDadpbdh0%22	https://footballpeek.com/bundesliga	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga.html	(from https://footballpeek.com/)
12:35:14	8008/8008	---MCZ	200	added ('OK')	text/html	etag:W/%221f48-iOFcXyGOxxj3qK7HKGhD98BoOww%22	https://footballpeek.com/champions-league	/home/neeraj/websites/FootbalPeek/footballpeek.com/champions-league.html	(from https://footballpeek.com/)
12:35:15	7915/7915	---MCZ	200	added ('OK')	text/html	etag:W/%221eeb-HefduwFB5i9ZWtEhvwOpFyFK3ns%22	https://footballpeek.com/europa-league	/home/neeraj/websites/FootbalPeek/footballpeek.com/europa-league.html	(from https://footballpeek.com/)
12:35:16	134018/134018	---MC-	200	added ('OK')	text/javascript	date:Wed,%2014%20Oct%202020%2010:35:15%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	/home/neeraj/websites/FootbalPeek/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://footballpeek.com/)
12:35:17	1531/1531	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fb-16f445492f3%22	https://footballpeek.com/script.bundle.de637f1c7be5f18e0f10.js	/home/neeraj/websites/FootbalPeek/footballpeek.com/script.bundle.de637f1c7be5f18e0f10.js	(from https://footballpeek.com/)
12:35:18	88030/88030	---MCZ	200	added ('OK')	text/html	etag:W/%22157de-WFEYrDG4NZTuz7CQYP0rZcYeYBw%22	https://footballpeek.com/premier-league/2020-2021/3	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/3.html	(from https://footballpeek.com/premier-league)
12:35:19	88080/88080	---MCZ	200	added ('OK')	text/html	etag:W/%2215810-NL5rmWiZiEss6vuXRMUWU18W7uQ%22	https://footballpeek.com/premier-league/2020-2021/5	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/5.html	(from https://footballpeek.com/premier-league)
